|  1INCHUSD |  1INCH/USD |  1INCH |     USD |     True |   Spot |          |          |          1 |
|   AAVEXBT |   AAVE/BTC |   AAVE |     BTC |     True |   Spot |          |          |          1 |
|   AAVEETH |   AAVE/ETH |   AAVE |     ETH |     True |   Spot |          |          |          1 |
|   AAVEEUR |   AAVE/EUR |   AAVE |     EUR |     True |   Spot |   Margin |          |          1 |
|   AAVEGBP |   AAVE/GBP |   AAVE |     GBP |     True |   Spot |          |          |          1 |
|   AAVEUSD |   AAVE/USD |   AAVE |     USD |     True |   Spot |   Margin |          |          1 |
|    ACAEUR |    ACA/EUR |    ACA |     EUR |     True |   Spot |          |          |          1 |
|    ACAUSD |    ACA/USD |    ACA |     USD |     True |   Spot |          |          |          1 |
|    ACHEUR |    ACH/EUR |    ACH |     EUR |     True |   Spot |          |          |          1 |
|    ACHUSD |    ACH/USD |    ACH |     USD |     True |   Spot |          |          |          1 |
|    ADAAUD |    ADA/AUD |    ADA |     AUD |     True |   Spot |          |          |          1 |
|    ADAXBT |    ADA/BTC |    ADA |     BTC |     True |   Spot |   Margin |          |          1 |
|    ADAETH |    ADA/ETH |    ADA |     ETH |     True |   Spot |   Margin |          |          1 |
|    ADAEUR |    ADA/EUR |    ADA |     EUR |     True |   Spot |   Margin |          |          1 |
|    ADAGBP |    ADA/GBP |    ADA |     GBP |     True |   Spot |          |          |          1 |
|    ADAUSD |    ADA/USD |    ADA |     USD |     True |   Spot |   Margin |          |          1 |
|   ADAUSDT |   ADA/USDT |    ADA |    USDT |     True |   Spot |   Margin |          |          1 |
|    ADXEUR |    ADX/EUR |    ADX |     EUR |     True |   Spot |          |          |          1 |
|    ADXUSD |    ADX/USD |    ADX |     USD |     True |   Spot |          |          |          1 |
|   AGLDEUR |   AGLD/EUR |   AGLD |     EUR |     True |   Spot |          |          |          1 |
|   AGLDUSD |   AGLD/USD |   AGLD |     USD |     True |   Spot |          |          |          1 |
|    AIREUR |    AIR/EUR |    AIR |     EUR |     True |   Spot |          |          |          1 |
|    AIRUSD |    AIR/USD |    AIR |     USD |     True |   Spot |          |          |          1 |
|    AKTEUR |    AKT/EUR |    AKT |     EUR |     True |   Spot |          |          |          1 |
|    AKTUSD |    AKT/USD |    AKT |     USD |     True |   Spot |          |          |          1 |
|   ALCXEUR |   ALCX/EUR |   ALCX |     EUR |     True |   Spot |          |          |          1 |
|   ALCXUSD |   ALCX/USD |   ALCX |     USD |     True |   Spot |          |          |          1 |
|   ALGOXBT |   ALGO/BTC |   ALGO |     BTC |     True |   Spot |   Margin |          |          1 |
|   ALGOETH |   ALGO/ETH |   ALGO |     ETH |     True |   Spot |          |          |          1 |
|   ALGOEUR |   ALGO/EUR |   ALGO |     EUR |     True |   Spot |   Margin |          |          1 |
|   ALGOGBP |   ALGO/GBP |   ALGO |     GBP |     True |   Spot |          |          |          1 |
|   ALGOUSD |   ALGO/USD |   ALGO |     USD |     True |   Spot |   Margin |          |          1 |
|  ALGOUSDT |  ALGO/USDT |   ALGO |    USDT |     True |   Spot |          |          |          1 |
|  ALICEEUR |  ALICE/EUR |  ALICE |     EUR |     True |   Spot |          |          |          1 |
|  ALICEUSD |  ALICE/USD |  ALICE |     USD |     True |   Spot |          |          |          1 |
|  ALPHAEUR |  ALPHA/EUR |  ALPHA |     EUR |     True |   Spot |          |          |          1 |
|  ALPHAUSD |  ALPHA/USD |  ALPHA |     USD |     True |   Spot |          |          |          1 |
|   ANKRXBT |   ANKR/BTC |   ANKR |     BTC |     True |   Spot |          |          |          1 |
|   ANKREUR |   ANKR/EUR |   ANKR |     EUR |     True |   Spot |          |          |          1 |
|   ANKRUSD |   ANKR/USD |   ANKR |     USD |     True |   Spot |          |          |          1 |
|    ANTXBT |    ANT/BTC |    ANT |     BTC |     True |   Spot |          |          |          1 |
|    ANTETH |    ANT/ETH |    ANT |     ETH |     True |   Spot |          |          |          1 |
|    ANTEUR |    ANT/EUR |    ANT |     EUR |     True |   Spot |          |          |          1 |
|    ANTUSD |    ANT/USD |    ANT |     USD |     True |   Spot |          |          |          1 |
|    APEEUR |    APE/EUR |    APE |     EUR |     True |   Spot |   Margin |          |          1 |
|    APEUSD |    APE/USD |    APE |     USD |     True |   Spot |   Margin |          |          1 |
|   APEUSDT |   APE/USDT |    APE |    USDT |     True |   Spot |          |          |          1 |
|   API3EUR |   API3/EUR |   API3 |     EUR |     True |   Spot |          |          |          1 |
|   API3USD |   API3/USD |   API3 |     USD |     True |   Spot |          |          |          1 |
|    APTEUR |    APT/EUR |    APT |     EUR |     True |   Spot |   Margin |          |          1 |
|    APTUSD |    APT/USD |    APT |     USD |     True |   Spot |   Margin |          |          1 |
|    ARBEUR |    ARB/EUR |    ARB |     EUR |     True |   Spot |   Margin |          |          1 |
|    ARBUSD |    ARB/USD |    ARB |     USD |     True |   Spot |   Margin |          |          1 |
